title,snippet,pub_date,web_url,section,source
Apple Kills Its Electric Car Project,"The car, which Apple spent billions of dollars researching, had been intended as a rival to Tesla’s E.V.s, which include autonomous driving features.",2024-02-27T20:47:02Z,https://www.nytimes.com/2024/02/27/technology/apple-ends-electric-car-plan.html,Technology,The New York Times
Apple Says It Will Remove a Health Feature From New Apple Watches,"Starting on Thursday, the Apple Watch Series 9 and Watch Ultra 2 will no longer detect people’s blood oxygen levels, to comply with a ruling by the International Trade Commission.",2024-01-17T22:35:09Z,https://www.nytimes.com/2024/01/17/technology/apple-watch-oximetry-international-trade-commission.html,Technology,The New York Times
Apple Takes Messaging Crackdown to Customers’ Macs,"Beeper Mini customers were using their Mac computers to connect to iPhone messaging on their Android phones. Now, they say Apple has blocked the messaging service on their Macs.",2024-01-26T16:20:53Z,https://www.nytimes.com/2024/01/26/technology/apple-messaging-crackdown-beeper.html,Technology,The New York Times
Apple Sees First Quarterly Revenue Increase in a Year,The iPhone maker’s share price dropped in after-hour trading even though sales and profit topped Wall Street expectations.,2024-02-01T22:05:44Z,https://www.nytimes.com/2024/02/01/technology/apple-earnings-iphone.html,Technology,The New York Times
Apple to Offer Rare Discount on iPhones in China,"Facing a weak consumer appetite and fierce competition from domestic rivals amid U.S.-China tensions, a typically discount-wary Apple is offering a four-day sale.",2024-01-15T10:54:18Z,https://www.nytimes.com/2024/01/15/business/apple-china-iphone-discounts.html,Business,The New York Times
Microsoft Tops Apple to Become Most Valuable Public Company,The shift is indicative of the importance of new artificial intelligence technology to Silicon Valley and Wall Street investors.,2024-01-12T21:47:56Z,https://www.nytimes.com/2024/01/12/technology/microsoft-apple-most-valuable-company.html,Technology,The New York Times
Apple Takes a Humble Approach to Launching Its Newest Device,The Vision Pro augmented reality device goes on sale Friday. Don’t expect Apple to host a splashy event to promote it.,2024-01-19T10:03:31Z,https://www.nytimes.com/2024/01/19/technology/apple-vision-pro-augmented-reality.html,Technology,The New York Times
Apple Has a New Plan for Its App Store. Many Developers Hate It.,"To comply with European regulations, Apple has proposed reducing its commission on app sales while adding new fees and hurdles.",2024-02-01T15:44:29Z,https://www.nytimes.com/2024/02/01/technology/apple-app-store-europe.html,Technology,The New York Times
U.S. Moves Closer to Filing Sweeping Antitrust Case Against Apple,"Justice Department officials are in the late stages of investigating the iPhone maker, focusing on how Apple has used its other products and services to defend against threats to its core business.",2024-01-05T19:15:12Z,https://www.nytimes.com/2024/01/05/technology/antitrust-apple-lawsuit-us.html,Technology,The New York Times
"Apple Overhauls App Store in Europe, in Response to New Digital Law","An E.U. law taking effect in March forced Apple to loosen its grip on the App Store, changes it had long resisted.",2024-01-25T18:00:08Z,https://www.nytimes.com/2024/01/25/technology/apple-app-store-europe.html,Technology,The New York Times
The Apple Vision Pro Is a Marvel. But Who Will Buy It?,"Parents, movie buffs and office workers might all succumb to the novelty of Apple’s new “spatial computing” device.",2024-01-31T16:33:37Z,https://www.nytimes.com/2024/01/31/technology/roose-apple-vision-pro.html,Technology,The New York Times
"Apple Music Removes, Then Restores, Ye Album Without Explanation","On Thursday, the streaming platform took down “Vultures 1” after the LP’s distributor, Fuga, said its upload violated a service agreement. The album, which is on pace to hit No. 1, later returned to the service.",2024-02-15T21:12:22Z,https://www.nytimes.com/2024/02/15/arts/music/apple-music-ye-vultures-fuga.html,Arts,The New York Times
Vision Pro Review: Apple’s First Headset Lacks Polish and Purpose,"Billed as the future of computing, the $3,500 goggles can’t replace a laptop for work. At times, wearing them also made our columnist feel nauseated.",2024-02-07T10:03:10Z,https://www.nytimes.com/2024/02/07/technology/personaltech/apple-vision-pro-review.html,Technology,The New York Times
"The True Price of Apple’s $3,500 Vision Pro Is Closer to $4,600",The new headset teaches a valuable lesson about the cost of tech products: The upsells and add-ons will get you.,2024-01-31T16:33:27Z,https://www.nytimes.com/2024/01/31/technology/personaltech/apple-vision-pro-headset-cost.html,Technology,The New York Times
"Republican Dysfunction, and Mom Convicted in School Shooting Case","Plus, the Apple Vision Pro hype.",2024-02-07T11:04:50Z,https://www.nytimes.com/2024/02/07/podcasts/republican-apple-vision-pro.html,Podcasts,The New York Times
Why Making Face Computers Cool Isn’t Easy,"Starting with Google Glass, all have been plagued with the same issues, even as Apple plunges into the market with its Vision Pro.",2024-01-24T14:00:23Z,https://www.nytimes.com/2024/01/24/technology/personaltech/apple-vr-smart-goggles.html,Technology,The New York Times
Charms Can Personalize Your Watch,"A wearable tech brand has followed Crocs’ lead, creating colorful decorations as part of an accessories collection for Apple Watch straps.",2024-01-18T10:00:21Z,https://www.nytimes.com/2024/01/18/fashion/charms-apple-watch-straps.html,Fashion,International New York Times
