Date,Close,High,Low,Open,Volume,avg_sentiment_score,news_count
2021-07-19,139.4042510986328,140.98962377727935,138.6409295962446,140.676458580126,121434600,0.0,0.0
2021-07-20,143.02516174316406,143.95486174482718,139.90337965759247,140.3926891605558,96350000,0.9940258711576462,4.0
2021-07-21,142.29116821289062,143.0055706916612,141.53764248479146,142.41839343589814,74993500,0.0,0.0
2021-07-22,143.66128540039062,145.03134615339167,142.69244712556272,142.8196723856779,77338200,0.9977482557296753,5.0
2021-07-23,145.38360595703125,145.54018854821376,143.77867172875503,144.3952063487,71447400,0.9966056148211161,3.0
2021-07-26,145.804443359375,146.6264796970787,144.54201654625697,145.09983651776034,72434100,0.9921764731407166,3.0
2021-07-27,143.6319122314453,146.01974493776575,142.43799587828508,145.93165788061674,104818600,0.9972176551818848,3.0
2021-07-28,141.88015747070312,143.82761436860707,139.49232507438956,141.71379405719455,118931200,0.9973169167836508,6.0
2021-07-29,142.52610778808594,143.41665489449147,141.48877376635855,141.5964224817762,56699500,0.9699817725590297,7.0
2021-07-30,142.74136352539062,143.2013156357775,141.02878032832388,141.29301163126834,70440600,0.9943023920059204,3.0
2021-08-02,142.40859985351562,143.80801745095812,142.14436861886256,143.23063599184002,62880000,0.9935720562934875,2.0
2021-08-03,144.2092742919922,144.87472794218303,142.07587743468324,142.692412088419,64786600,0.9985406994819641,2.0
2021-08-04,143.80804443359375,144.63008072615645,143.1523715622017,144.12120964935443,56368300,0.0,0.0
2021-08-05,143.91571044921875,144.67903208892778,143.04474012018966,143.8374191358459,46397700,0.9967195192972819,3.0
2021-08-06,143.2296600341797,144.18034393765785,142.72982193278042,143.43548451999956,54126800,0.9965513944625854,1.0
2021-08-09,143.18063354492188,143.7784860744744,142.62199279545507,143.28844350778914,48908700,0.0,0.0
2021-08-10,142.70040893554688,144.76838927434818,142.40638038902802,143.52367690186915,69023100,0.0,0.0
2021-08-11,142.95521545410156,143.79808925109194,142.63178557160285,143.14143401871405,48493500,0.9852960109710692,1.0
2021-08-12,145.92491149902344,146.08172874886253,142.93564810172333,143.27868396638186,72282600,0.9986164569854736,2.0
2021-08-13,146.13070678710938,146.4639321601955,145.31723429051934,146.0032909277299,59375000,0.0,0.0
2021-08-16,148.11044311523438,148.17905624484246,143.55305376409413,145.58182197453553,103296000,0.0,0.0
2021-08-17,147.19900512695312,148.65932256875118,146.12090537704304,147.2382019565344,92229700,0.972695767879486,1.0
2021-08-18,143.44528198242188,147.7184543955626,143.23945749374153,146.81677773378797,86326000,0.9981190115213394,4.0
2021-08-19,143.77847290039062,145.05258644801074,141.622288795524,142.14173267222196,86960300,0.9959145486354828,2.0
2021-08-20,145.23878479003906,145.54260871848416,143.85686148171573,144.50372110964267,60549600,0.9965180158615112,3.0
2021-08-23,146.72854614257812,147.19898280077066,144.94478409144247,145.3564180367249,60131800,0.9964247345924377,2.0
2021-08-24,146.6403350830078,147.85564605050203,146.17969386697683,146.47372240240912,48606400,0.9974932074546814,2.0
2021-08-25,145.4054412841797,147.32641486181075,144.8565959634032,146.82656183724308,58991300,0.9951902627944946,1.0
2021-08-26,144.6017608642578,146.15029724311051,144.57235950525344,145.39564242211458,48597200,0.9974862337112427,2.0
2021-08-27,145.64065551757812,145.7876623043235,143.90590065942186,144.54295000853472,55802400,0.9952424883842468,5.0
2021-08-30,150.07064819335938,150.43328990399013,145.6504691143869,146.0327017624141,90956700,0.0,0.0
2021-08-31,148.8063507080078,149.7570346314379,148.27709627902888,149.6198232896498,86453100,0.9818764925003052,1.0
2021-09-01,149.4727783203125,151.89358979635324,149.30616564221367,149.7864127413778,80313700,0.0,0.0
2021-09-02,150.59007263183594,151.63877088807703,149.36496623243957,150.80569255452266,71115500,0.9962686044829232,7.0
2021-09-03,151.22715759277344,151.55058752098978,150.0412478559802,150.69790318117794,57808700,0.9963623583316803,4.0
2021-09-07,153.56956481933594,154.12820565202878,151.31536568577172,151.8838169424037,82278300,0.9987608343362808,4.0
2021-09-08,152.02102661132812,153.9125840013745,150.91352547223326,153.85378127804458,74420200,0.9993464350700378,1.0
2021-09-09,151.0017547607422,153.0011222642301,150.88413435118497,152.39347414202683,57305700,0.9933695793151855,1.0
2021-09-10,146.0032958984375,152.38364527408532,145.73866870260662,151.913208557541,140893200,0.9962959686915079,6.0
2021-09-13,146.57174682617188,148.4045013917985,145.78767566355324,147.63024065247,102404300,0.9967109113931656,4.0
2021-09-14,145.17019653320312,148.06145946857694,143.98430196712366,147.3557970181365,109296300,0.9975223739941915,9.0
2021-09-15,146.06207275390625,146.46391121069288,143.45504295049025,145.6014315873286,83281300,0.9908716281255087,3.0
2021-09-16,145.8268585205078,146.0032816187781,144.28813265765052,145.48383770122956,68034100,0.99102683365345,4.0
2021-09-17,143.1512451171875,145.85628990076225,142.85721655963627,145.85628990076225,129868800,0.9984854161739349,4.0
2021-09-20,140.09336853027344,141.95552426414204,138.4566281851567,140.93624232616293,123478900,0.0,0.0
2021-09-21,140.57362365722656,141.7203365880152,139.93657421115685,141.06366629417695,75834000,0.9978205561637878,2.0
2021-09-22,142.94544982910156,143.5138861540785,140.83825741925605,141.5733214088711,76404300,0.9910234808921814,2.0
