title,snippet,pub_date,web_url,section,source
Apple will require masks for customers and employees in many U.S. stores.,"Apple had lifted mask requirements in its American stores earlier this year, but the Delta variant prompted it to reverse course.",2021-07-28T20:43:55Z,https://www.nytimes.com/2021/07/28/business/apple-will-require-masks-for-customers-and-employees-in-many-us-stores.html,Business,The New York Times
Apple’s profits nearly doubled in the latest quarter.,"The pandemic has been a windfall for Apple and its peers, as people buy even more gadgets to work, study and socialize.",2021-07-27T20:57:13Z,https://www.nytimes.com/2021/07/27/technology/apple-q3-earnings.html,Technology,The New York Times
Can Apple’s AirTags Find Lost Pets?,We look at the pros and cons of using Apple’s AirTag tracking device to find our missing dogs and cats.,2021-07-20T16:06:15Z,https://www.nytimes.com/2021/07/20/technology/apple-airtag-pets.html,Technology,The New York Times
Apple delays its return to office as the Delta variant surges.,"Employees are now expected to come back to the workplace as early as October, a month later than planned.",2021-07-20T15:42:40Z,https://www.nytimes.com/2021/07/20/technology/apple-return-to-office-delay.html,Technology,The New York Times
Poem: The Woman You Love Cuts Apples for You,"Reading Rosal’s poem again made me pull out some tajin, and slice some apples, and remember how poems create a heart’s history and remind us of home.",2021-07-22T09:00:04Z,https://www.nytimes.com/2021/07/22/magazine/poem-the-woman-you-love-cuts-apples-for-you.html,Magazine,The New York Times
"Catch up: Deutsche Bank beat expectations; Apple, Google and Microsoft had very profitable quarters.",,2021-07-28T08:47:36Z,https://www.nytimes.com/live/2021/07/28/business/economy-stock-market-news/catch-up-deutsche-bank-beat-expectations-apple-google-and-microsoft-had-very-profitable-quarters,Business,The New York Times
The F.T.C. votes to use its leverage to make it easier for consumers to repair their phones.,"An advocacy group for technology companies criticized the move by the commission, saying it would jeopardize the safety of consumers.",2021-07-22T02:02:59Z,https://www.nytimes.com/2021/07/21/us/politics/phones-right-to-repair-FTC.html,U.S.,The New York Times
Big Tech Has Outgrown This Planet,The gap keeps widening between the super rich tech superstars and the merely super. There’s one possible explanation.,2021-07-29T16:35:09Z,https://www.nytimes.com/2021/07/29/technology/big-tech-profits.html,Technology,The New York Times
Credit to Tech’s Pandemic Leadership,America’s tech companies have been leading the way for how large employers should aid in the country’s pandemic response.,2021-07-30T16:22:17Z,https://www.nytimes.com/2021/07/30/technology/tech-companies-pandemic.html,Technology,The New York Times
"Delays, More Masks and Mandatory Shots: Virus Surge Disrupts Office-Return Plans","A wave of the contagious Delta variant is causing companies to reconsider when they will require employees to return, and what health requirements should be in place when they do.",2021-07-23T16:59:18Z,https://www.nytimes.com/2021/07/23/business/return-to-office-vaccine-mandates-delta-variant.html,Business,The New York Times
